NTE,"Nam Tai Electronics",NYSE,True,7.84
CYTR,"Cytrx Corp.",NASDAQ,True,2.35
WNR,"Western Refining",NYSE,True,31.04
PMCS,"Pmc - Sierra",NASDAQ,True,6.26
LRAD,"Lrad Corp.",NASDAQ,True,1.42
PRMW,"Primo Water Corp.",NASDAQ,True,2.39
ABC,"Amerisourcebergen Corporation",NYSE,True,57.27
FDML,"Federal-Mogul Corp.",NASDAQ,False,16.47
PG,"Procter & Gamble Company",NYSE,True,80.48
CBT,"Cabot Corp.",NYSE,True,40.31
EXPO,"Exponent",NASDAQ,True,66.81
SNN,"Smith & Nephew Snats",NYSE,True,60.85
STR,"Questar Corp.",NYSE,True,23.01
SALE,"Retailmenot Inc.",NASDAQ,False,32.26
HVB,"Hudson Valley Holding Corp. Com",NYSE,False,18.99
CRIS,"Curis",NASDAQ,True,4.08
FRED,"Fred's",NASDAQ,True,16.46
ZLC,"Zale Corporation",NYSE,True,9.16
PRGX,"Prgx Global",NASDAQ,True,6.00
NSTG,"Nanostring Technologies Inc.",NASDAQ,False,7.35
NTI,"Northern Tier Energy Lp",NYSE,False,22.85
OLP,"One Liberty Properties",NYSE,False,22.23
LIFE,"Life Technologies Corp.",NASDAQ,True,74.55
NR,"Newpark Resources",NYSE,True,11.41
DOC,"Physicians Realty Trust",NYSE,False,11.79
SMCI,"Super Micro Computer",NASDAQ,False,13.02
CDTI,"Clean Diesel Technologies",NASDAQ,False,1.40
IILG,"Interval Leisure Group",NASDAQ,False,21.00
SONC,"Sonic",NASDAQ,True,15.98
APT,"Alpha Pro Tech",AMEX,True,1.59
BBSI,"Barrett Business Services",NASDAQ,True,67.41
ARTW,"Art'S-Way Manufacturing Co.",NASDAQ,True,7.10
TCO,"Taubman Centers",NYSE,True,68.67
TSEM,"Tower Semiconductor Ltd",NASDAQ,True,4.67
HSH,"Hillshire Brands Company",NYSE,False,32.75
BOE,"Blackrock Global",NYSE,True,13.45
SUSP,"Susser Petroleum Partners Lp",NYSE,False,30.39
RRC,"Range Resources Corp.",NYSE,True,78.08
HOLL,"Hollywood Media",NASDAQ,True,1.45
PRGS,"Progress Software Corp.",NASDAQ,True,24.94
ENV,"Envestnet Inc",NYSE,False,26.19
KMX,"Carmax Inc",NYSE,True,48.08
CKEC,"Carmike Cinemas",NASDAQ,True,17.46
OVAS,"Ovascience",NASDAQ,False,11.29
CBAK,"China Bak Battery",NASDAQ,True,1.59
BOKF,"Bok Financial Corp.",NASDAQ,True,65.89
PDLI,"Pdl Biopharma",NASDAQ,True,8.12
NCMI,"National Cinemedia",NASDAQ,False,18.05
NGD,"New Gold Inc.",AMEX,True,7.61
GLW,"Corning Inc.",NYSE,True,14.91
CLFD,"Clearfield",NASDAQ,False,11.78
PETS,"Petmed Express",NASDAQ,True,15.68
IR,"Ingersoll-Rand Plc [Ireland]",NYSE,True,60.24
ATK,"Alliant Techsystems Inc.",NYSE,True,98.36
PFPT,"Proofpoint Inc.",NASDAQ,False,29.01
TMUS,"T-Mobile US Inc.",NYSE,False,24.14
RENT,"Rentrak Corp.",NASDAQ,True,23.12
SYA,"Symetra Financial Corp.",NYSE,False,18.07
COH,"Coach",NYSE,True,52.46
OCR,"Omnicare",NYSE,True,54.28
ZIPR,"Ziprealty",NASDAQ,False,3.91
LULU,"Lululemon Athletica Inc.",NASDAQ,True,72.22
DBD,"Diebold Inc.",NYSE,True,31.00
RAS,"Rait Financial Trust",NYSE,True,6.81
GCI,"Gannett Co.",NYSE,True,24.29
EXXI,"Energy Xxi [Bermuda] Limited",NASDAQ,False,26.33
ECTE,"Echo Therapeutics",NASDAQ,True,2.48
SNMX,"Senomyx",NASDAQ,True,3.19
NDSN,"Nordson Corp.",NASDAQ,True,70.05
FMS,"Fresenius Medical Care Corp.",NYSE,False,33.28
ASGN,"On Assignment",NYSE,True,30.67
BERY,"Berry Plastics Group Inc.",NYSE,False,22.83
CNA,"Cna Financial Corp.",NYSE,True,35.57
ASR,"Grupo Aeroportuario Del Sureste",NYSE,True,121.70
ARE,"Alexandria Real Estate Equities",NYSE,True,64.07
RCMT,"Rcm Technologies",NASDAQ,True,5.72
IBA,"Industrias Bachoco S.A. De C.V.",NYSE,True,40.18
IQNT,"Neutral Tandem",NASDAQ,True,7.86
TK,"Teekay Shipping Corp.",NYSE,True,38.14
PMBC,"Pacific Mercantile Bancorp",NASDAQ,True,6.54
STT,"State Street Corp",NYSE,True,67.80
VASC,"Vascular Solutions",NASDAQ,True,16.04
VALU,"Value Line",NASDAQ,True,8.97
PGRX,"Prospect Global Resources Inc",NASDAQ,False,0.07
VTUS,"Ventrus Biosciences",NASDAQ,True,2.46
TISA,"Top Image Systems",NASDAQ,True,2.87
GPRC,"Guanwei Recycling",NASDAQ,True,1.94
OPXA,"Opexa Therapeutics",NASDAQ,True,1.36
IDRA,"Idera Pharmaceuticals",NASDAQ,False,1.50
CPSL,"China Precision Steel",NASDAQ,True,1.47
UNTY,"Unity Bancorp",NASDAQ,True,7.35
M,"Macy's Inc",NYSE,True,46.30
STAA,"Staar Surgical Company",NASDAQ,True,11.37
MHD,"Blackrock Muniholdings Fund",NYSE,True,14.69
ININ,"Interactive Intelligence",NASDAQ,True,59.58
QLYS,"Qualys Inc.",NASDAQ,False,18.37
ASTI,"Ascent Solar Technologies",NASDAQ,True,0.73
GBX,"Greenbrier Companies",NYSE,True,22.44
CPHI,"China Pharma Holdings",AMEX,True,0.20
SAAS,"Incontact",NASDAQ,False,8.48
TLP,"Transmontaigne Partners L.P.",NYSE,False,39.04
SKM,"Sk Telecom Corporation",NYSE,True,20.80
PBCT,"People's United Financial",NASDAQ,True,14.78
RFMD,"Rf Micro Devices",NASDAQ,True,4.83
KW,"Kennedy-Wilson Holdings Inc.",NYSE,True,18.29
SPW,"Spx Corp.",NYSE,True,75.31
PENX,"Penford Corp.",NASDAQ,True,14.30
